Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
اجا قبول السفر واسبوع الجاي انشالله طيارتي,الله يوفقك وتوصل بالسلامة,جه قبول السفر والاسبوع الجي انشالله طيارتي,الله يوفقك و توصل بالسلامة,إيش المشكلة يا ندى؟ شكلك زعلانة.,ما أدري. حياتي عبارة عن فوضى. كل شي معقد.
شكلا المدارس رح ترجع تفتح,لكان لازم صير نام بكير,شكلها المدارس حترجع تفتح,يبقى لازم انام بدري,كيف ممكن أخدمك؟,أبغى أرجع الفيديو ذا.
شو صار معك عند الحكيم شو قلك كرمال اجرك,قلي لازم امشي كل يوم ساعة عل الاقل,ايه الي حاصل معاك عند الدكتور قلك ايه على رجلك,قلي لازم امشي كل يوم ساعة على الأقل,هل صدف وجبت الكتاب اللي كنا نتكلم عنه أمس؟,"إيوة، خليني أجيبه لك. خذ."
كيف الشغل انشالله مش تعبان,لا الحمدالله مهم نضل عم نشتغل,ايه اخبار الشغل انشالله مش تعبان,لا الحمدلله المهم نفضل نشتغل,أنا رايح الحديقة ألعب كرة القاعدة مع الشباب.,بس أنت وعدتني تلعب معاي شطرنج بعد الظهر.
شو عم تعمل هالايام؟,والله ما عم لحّق ع شي كلو ضغط بضغط!!,بتعمل ايه الايام ديه؟,والله مش ملاحق على حاجة كله ضغط في ضغط!!,إيش أكثر شي يوترك؟,غالباً أمي وأبوي.
عم يقولوا نجح اللقاح,و أخيرا رح تخلص هالأزمة قريبا,بيقولوا اللقاح نجح,وأخيرا حتخلص الأزمة قريبا,عثمان شكله مرّة وسيم بالبدلة.,هو يفض البدل على الجاكيتات.
ما عم شم و دوق لي قولك؟,لا مش كورونا اكيد حساسية,مش بشم و ادوق تفتكر ليه؟,لا مش كورونا اكيد حساسية,ليلى تقول أنو الوظيفة تاخذ المرتبة الثانية بعد العائلة بعد ما تتزوج.,هي أكيد زوجة ممتازة.
ما قبلوني بالجامعة,"يلا بسيطة، بتقدّم عجامعة غيرها",ماقبلونيش في الجامعة,"يلا بسيطة، تقدم على جامعة غيرها",كيف الجو؟,مدري. دوبي صحيت.
"كتير عم بتوتر هالايام، ما بعرف شو صايرلي","لي خير شو صاير، بركي لازم تروح عند الدكتور","بتوتر كتير اليومين دول، مش عارف ايه الي حاصلي","ليه خير ايه الي حاصل، يمكن لازم نروح عند الدكتور","مرحبا، شكلك ضايع. أنت جديد هنا؟","إيوة، كيف عرفت؟"
الحمدالله انو عايشين بالمدينة,"مزبوط الا حسناتا، بس الجبل احلى",الحمدلله انه عايشين في المدينة,"مزبوط ليها حسناتها، بس الجبل احلى","مدري كيف يحيى يقدر يتحمل ابنه، يضيع وقته من غير ما يشتغل.",يحيى ما يقدر عليه. جالس يفشل أهله.
بتعرف انو التدخين بضر بصحتك,"اكيد بعرف، بس ما قادر وقفو",تعرف ان التدخين بيضر بصحتك,"اكيد اعرف، بس مش قادر اوقف",تحب التزلج على الثلج؟,ما جربته قبل كذا.
"مرحبا، شو كيف لقيت الفيلم",كتير بايخ و ما بينحضر,"السلام عليكم، ايه اخبار الفيلم",بايخ جدا وميتشفش,"جاسم، أنت متأخر","إيوة، آسف. فاتني الباص."
اليوم شفنا فيل كبير بالسيرك,يالله عال المهم يكونو انبسطو الولاد,انهردة شفنا فيل كبير في السيرك,بالله عليك المهم يكونوا انبسطوا الولاد,خلينا نجيب أكل بحري اليوم ونروح نشوف الفيلم الجديد في سينما المول. علياء قالت لي في قصة حب حلوة ولازم أشوفها.,"يا ربي، مرة ثانية؟ هذا اللي سويناه في الأسبوع اللي راح."
فاضي شوي نشرب قهوة سوا,اكيد و اذا مش فاضي بفضي حالي كرمالك,فاضي شوية نشرب قهوة مع بعض,اكيد ولو مش فاضي افضي نفسي ليك,كيف حال شغلك الجديد؟,كويس. شكراً.
"الفيلم شوي و ببلش، كم ساعة هوي على علمك","مش اكيد صراحة، بس مفروض ساعتين","الفيلم شوية و يبدا، كم ساعة هو لو تعرف","مش متاكد الصراحة، بس المفروض ساعتين","يا لمى، أنا ويحيى هنتزوج الأسبوع الجاي.",جميل. مبروك.
شو عاصمة لبنان,بيروت هي العاصمة السياسية للجمهورية اللبنانية وأكبر مدنها,ايه عاصمة لبنان,بيروت هي العاصمة السياسية للجمهورية اللبنانية وأكبر مدنها,يعني تحسب تقدر تروح للمكتب لحالك؟,"أكيد، هركب القطار. لو ما لحقت القطار فهركب ليموزين."
ادي الدولار اليوم,"الدولار صلر بالسما، قد ما بدك",كام الدولار انهردة,"الدولار بقا في السما، زي مانت عايز",خلصتو أنت و سعيد؟,إيوة.
شو طابخين اليوم؟,"والله عاملين كبة بالصينية، اتفضل",طابخين ايه انهردة؟,"ولله عاملين كبة في الصنية، اتفضل",سالم شكله مرّة مز بالبدلة.,هو يفض البدل على الجاكيتات.
عم تدرس بهل ايام ؟,اكيد كل يوم عالاونلاين,بتذاكر اليومين دول؟,اكيد كل يوم اونلاين,"أنت صاحب سلمى، صح؟ أنا أحمد، أحمد موسى.","اتشرفت بمعرفتك. أنا خالد، خالد سعيد."
"شو رأيك بموضوع لقاح كورونا، ح تاخدو؟",إنو أكيد منا نخلص بقى من هالقصة والله تعبنا.,"ايه رأيك في موضوع لقاح كورونا، حتاخده؟",اكيد عايزين نخلص من القصة ديه بقا والله تعبنا.,واو! المكان مليان.,محطة القطار زحمة من جد. شكلو هيكون صعب علينا نركب القطار.
ليوم جبت كيلو عدس مدعوم,"ايه خيي، من وين جبتو",انهردة جبت كيلو عدس مدعوم,"اه يا اخويا، جيبته منين",الجو جالس يبرد.,يب. أمس اشتريت لحاف. مرة حلو ودافي. شوف.
وين صرت؟,يلا صرت واصل,وصلت فين؟,يلا خلاص حوصل,سوسن؟ إيش جابك هنا اليوم؟,عندي أوراق مستحقة.
حاسة حالي عم ضل نعسانة وكسلانة,اشربي مي اكتر وخدي فيتامينات,حاسس نفسي بفضل كسلان و نيمان,اشربي مياه و خدي فيتامينات,هلا مريم.,هلا باسم.
قدي الدولار اليوم,اوووووه بالسما,كام الدولار انهردة,اوووووه في السما,أنت فاضي اليوم؟,على حسب.
ما عم صدق عرسي بعد شهر!,ييي ألف مبروك تتهنو,مش مصدق فرحي بعد شهر!,يااه ألف مبروك تتهنوا,تبي نتابع كابل؟,"واو! عدا برنامج كوسبي، ما شفت برنامج هزلي أسود. إيش ذا البرنامج؟"
عبالي آكل سوشي,يلا بدك نضهر بكرا؟,جي علي نفسي اكل سوشي,يلا عايز نخرج بكرا؟,مديري في الشغل كان من جد غبي اليوم. تدري ليش؟,"ذوقه في الملابس خايس، صح؟"
كيفك و كيف كل شي؟,الحمدالله ماشي الحال,ايه اخبارك و اخبار كل حاجة؟,الحمدالله ماشي الحال,"يا أيمن، أنت هتروح للمعلب الأولمبي بعدين؟","إيوة، لازم أصل في الموعد عشان سباق تتابع ال400 متر للسيدات."
قديش بعد في للغدا,"صار طالع، شي ١٠ دقايق بس",فاضل قد ايه للغدا,"خلاص حيطلع، حوالي ١٠ دقايق بس",وين رحت أمس؟,رحت ألعب تنس في الحديقة العامة.
كيف الشغل انشالله مش تعبان,لا الحمدالله مهم نضل عم نشتغل,ايه اخبار الشغل انشالله مش تعبان,لا الحمدلله المهم نفضل بنشتغل,والحين...  خلونا نروح لياسر أحمد للنشرة الجوية اليوم.,"شكراً يا سالم، وصباح الخير يا مدينة البحيرة المالحة."
ايمتى بيخلص هالحجر؟,"بعد في أسبوع، شفلك شي تعملو بهالوقت",امتى يخلص الحجر ده؟,"لسة في اسبوع، شفلك حاجة تعملها في الوقت ده",ترا يقارنوه برامبو.,قصدك سيلفيستر ستالون؟
كم سمستر ل تتخرج بعد,سمستر واحد و بدي كفي ماستر,كام سمستر فاضل عشان تتخرج,سمستر واحد و عايز اكمل ماجيستير,جالس أقضي وقت صعب في الشغل.,إيش المشكلة يا سميحة؟
شو دارسة اختصاص,اخصائية تغذية,دارسه اختصاص ايه,اخصائية تغذية,"هوايتي الخاصة هي تجميع الطوابع، بالذات الطوابع النادرة. وأنت؟",للأسف هذا الشي مو من اهتماماتي. أنا مهتم بالغوص من غير بذلة غوص.
عم تراكم عليك دروس,طبعًا,بتتراكم عليك دروس,طبعًا,هلا!,أهلين!
شو تخطيطاتك لبكرة,بهل بيت,تخطيطاتك ايه لبكرا,في البيت,"لو سمحت، أبغى بطاقة مكتبة.","أكيد، خليني أعطيك طلب تقدر تعبيه هنا."
عم يوجعني راسي كتير. شو فيني ساوي,"خدلك حبة بانادول، اذا ما في فوت نام شوي",راسي بيوجعني جامد. ممكن اعمل ايه,"خدلك حباية بانادول،لو مظبتش خش نام شوية",هلا فادي. لقيت شغل جديد؟,إيوة يا جمانة. هشتغل في مكتب البريد. مو شغل سيء.
دخلك اي ساعة ببلش منع التجول,"حسب آخر تعميم، ببلش الساعة ٨",لو سمحت انهي ساعة يبدا منع التجول,"حسب آخر قرار، يبدا الساعة ٨",رجع للحياة في النهاية.,الحمد لله. كلنا كنا خايفين نسمع خبر سيء عنه.
